Time Step,Date,Time,AM/PM,snow surface temperatureC,snow depthCM,SWECM
1,4/1/19,12:00:00,AM,-9.13,451.72,195.22
2,4/1/19,1:00:00,AM,-7.45,451.56,194.9
3,4/1/19,2:00:00,AM,-7.4,451.6,194.96
4,4/1/19,3:00:00,AM,-7.84,451.53,195
5,4/1/19,4:00:00,AM,-6.74,451.19,194.88
6,4/1/19,5:00:00,AM,-6.42,451,194.9
7,4/1/19,6:00:00,AM,-6.13,450.86,194.91
8,4/1/19,7:00:00,AM,-4.62,449.86,194.88
9,4/1/19,8:00:00,AM,-2.81,449.15,194.67
10,4/1/19,9:00:00,AM,-0.47,447.72,194.46
11,4/1/19,10:00:00,AM,-0.13,448.24,194.83
12,4/1/19,11:00:00,AM,0,448.07,194.96
13,4/1/19,12:00:00,PM,-0.03,448.32,195
14,4/1/19,1:00:00,PM,0,447.96,195
15,4/1/19,2:00:00,PM,0,447.78,195.04
16,4/1/19,3:00:00,PM,-0.1,446.62,195.1
17,4/1/19,4:00:00,PM,-0.07,446.68,195.12
18,4/1/19,5:00:00,PM,-0.34,447.33,195.17
19,4/1/19,6:00:00,PM,-0.62,447.21,195.14
20,4/1/19,7:00:00,PM,-0.73,447.14,195.13
21,4/1/19,8:00:00,PM,-1.23,447.51,195.13
22,4/1/19,9:00:00,PM,-1.94,447.45,195.15
23,4/1/19,10:00:00,PM,-2.17,447.35,195.18
24,4/1/19,11:00:00,PM,-2.2,448.42,195.27
25,4/2/19,12:00:00,AM,-2.41,449.83,195.38
26,4/2/19,1:00:00,AM,-2.74,448.85,195.35
27,4/2/19,2:00:00,AM,-2.57,447.03,195.31
28,4/2/19,3:00:00,AM,-2.48,446.82,195.28
29,4/2/19,4:00:00,AM,-2.58,446.71,195.29
30,4/2/19,5:00:00,AM,-2.76,446.5,195.25
31,4/2/19,6:00:00,AM,-2.88,447.03,195.3
32,4/2/19,7:00:00,AM,-3.07,449.98,195.49
33,4/2/19,8:00:00,AM,-2.31,451.14,195.61
34,4/2/19,9:00:00,AM,-2.04,451.8,195.57
35,4/2/19,10:00:00,AM,-2.05,450.79,195.53
36,4/2/19,11:00:00,AM,-2.62,451.46,195.74
37,4/2/19,12:00:00,PM,-2.89,452.35,195.94
38,4/2/19,1:00:00,PM,-3.05,453.85,196.04
39,4/2/19,2:00:00,PM,-3.62,454.85,196.27
40,4/2/19,3:00:00,PM,-3.76,454.82,196.36
41,4/2/19,4:00:00,PM,-4.05,454.76,196.66
42,4/2/19,5:00:00,PM,-4.1,455.83,196.97
43,4/2/19,6:00:00,PM,-4.02,457.43,197.23
44,4/2/19,7:00:00,PM,-4.16,458.35,197.29
45,4/2/19,8:00:00,PM,-4.34,458.16,197.26
46,4/2/19,9:00:00,PM,-5.53,457.56,197.22
47,4/2/19,10:00:00,PM,-8.01,458.03,197.23
48,4/2/19,11:00:00,PM,-9.39,458.08,197.24
49,4/3/19,12:00:00,AM,-9.53,457.79,197.29
50,4/3/19,1:00:00,AM,-7.84,457.48,197.24
51,4/3/19,2:00:00,AM,-8.79,457.52,197.25
52,4/3/19,3:00:00,AM,-10.07,457.76,197.29
53,4/3/19,4:00:00,AM,-11.41,457.63,197.28
54,4/3/19,5:00:00,AM,-11.82,457.43,197.26
55,4/3/19,6:00:00,AM,-11.36,456.48,197.3
56,4/3/19,7:00:00,AM,-9.66,455.64,197.34
57,4/3/19,8:00:00,AM,-6.71,455.1,197.32
58,4/3/19,9:00:00,AM,-3.54,454.57,197.16
59,4/3/19,10:00:00,AM,-1.33,454,197.06
60,4/3/19,11:00:00,AM,-1.06,454.73,197
61,4/3/19,12:00:00,PM,-0.72,454.76,197
62,4/3/19,1:00:00,PM,-0.62,454.71,197.01
63,4/3/19,2:00:00,PM,-0.46,454.47,197
64,4/3/19,3:00:00,PM,-0.97,454.46,197
65,4/3/19,4:00:00,PM,-2.15,454.84,197.05
66,4/3/19,5:00:00,PM,-4.09,455.08,197.1
67,4/3/19,6:00:00,PM,-4.75,455.27,197.18
68,4/3/19,7:00:00,PM,-4.82,455.25,197.22
69,4/3/19,8:00:00,PM,-5.53,455.18,197.3
70,4/3/19,9:00:00,PM,-5.8,454.97,197.3
71,4/3/19,10:00:00,PM,-4.77,454.89,197.3
72,4/3/19,11:00:00,PM,-5.78,454.67,197.25
73,4/4/19,12:00:00,AM,-7.02,454.68,197.21
74,4/4/19,1:00:00,AM,-8.45,454.59,197.24
75,4/4/19,2:00:00,AM,-9.42,454.57,197.25
76,4/4/19,3:00:00,AM,-9.86,454.42,197.28
77,4/4/19,4:00:00,AM,-10.9,454.36,197.29
78,4/4/19,5:00:00,AM,-11.28,454.28,197.3
79,4/4/19,6:00:00,AM,-9.72,454.03,197.3
80,4/4/19,7:00:00,AM,-7.89,453.15,197.28
81,4/4/19,8:00:00,AM,-5.88,452.46,197.18
82,4/4/19,9:00:00,AM,-3.49,452.03,196.96
83,4/4/19,10:00:00,AM,-1.54,451.86,196.79
84,4/4/19,11:00:00,AM,-0.79,452.03,196.72
85,4/4/19,12:00:00,PM,-0.92,452.18,196.7
86,4/4/19,1:00:00,PM,-0.69,452.33,196.73
87,4/4/19,2:00:00,PM,-1.01,452.13,196.73
88,4/4/19,3:00:00,PM,-1.95,452.54,196.78
89,4/4/19,4:00:00,PM,-2.65,452.68,196.78
90,4/4/19,5:00:00,PM,-3.14,452.68,196.89
91,4/4/19,6:00:00,PM,-3.45,452.7,196.95
92,4/4/19,7:00:00,PM,-3.33,452.7,197
93,4/4/19,8:00:00,PM,-3.41,452.55,197.04
94,4/4/19,9:00:00,PM,-4.24,452.33,197.09
95,4/4/19,10:00:00,PM,-4.9,452.28,197.12
96,4/4/19,11:00:00,PM,-5,452.14,197.09
97,4/5/19,12:00:00,AM,-4.9,452.07,197.11
98,4/5/19,1:00:00,AM,-5.7,452,197.18
99,4/5/19,2:00:00,AM,-6.53,451.98,197.15
100,4/5/19,3:00:00,AM,-4.82,451.88,197.1
101,4/5/19,4:00:00,AM,-4.99,451.77,197.09
102,4/5/19,5:00:00,AM,-5.68,451.79,197.11
103,4/5/19,6:00:00,AM,-5.67,451.48,197.1
104,4/5/19,7:00:00,AM,-5.72,450.89,197.14
105,4/5/19,8:00:00,AM,-3.43,450.59,197.03
106,4/5/19,9:00:00,AM,-2.72,450.69,196.89
107,4/5/19,10:00:00,AM,-2.51,450.43,196.81
108,4/5/19,11:00:00,AM,-2.72,450.37,196.81
109,4/5/19,12:00:00,PM,-2.95,450.39,196.92
110,4/5/19,1:00:00,PM,-3.03,450.7,196.96
111,4/5/19,2:00:00,PM,-3.32,450.97,197.02
112,4/5/19,3:00:00,PM,-3.47,453.23,197.27
113,4/5/19,4:00:00,PM,-4.38,454.88,197.35
114,4/5/19,5:00:00,PM,-6.43,453.83,197.35
115,4/5/19,6:00:00,PM,-9.72,453.72,197.44
116,4/5/19,7:00:00,PM,-10.7,453.85,197.51
117,4/5/19,8:00:00,PM,-11.94,453.47,197.54
118,4/5/19,9:00:00,PM,-15.88,453.52,197.68
119,4/5/19,10:00:00,PM,-18.76,453.78,197.79
120,4/5/19,11:00:00,PM,-14.99,453.42,197.53
121,4/6/19,12:00:00,AM,-11.42,453.18,197.33
122,4/6/19,1:00:00,AM,-10.01,452.97,197.27
123,4/6/19,2:00:00,AM,-9.52,451.58,197.21
124,4/6/19,3:00:00,AM,-9.2,450.32,197.12
125,4/6/19,4:00:00,AM,-9.25,449.95,197.11
126,4/6/19,5:00:00,AM,-9.1,449.73,197.08
127,4/6/19,6:00:00,AM,-8.9,449.47,197.1
128,4/6/19,7:00:00,AM,-8.26,448.92,197.03
129,4/6/19,8:00:00,AM,-7.38,448.59,197.02
130,4/6/19,9:00:00,AM,-5.8,448.26,196.87
131,4/6/19,10:00:00,AM,-4.74,448.05,196.75
132,4/6/19,11:00:00,AM,-2.67,447.74,196.58
133,4/6/19,12:00:00,PM,-1.47,447.53,196.51
134,4/6/19,1:00:00,PM,-0.32,447.18,196.5
135,4/6/19,2:00:00,PM,-0.31,447.11,196.53
136,4/6/19,3:00:00,PM,-0.54,447.16,196.61
137,4/6/19,4:00:00,PM,-1.45,447.28,196.7
138,4/6/19,5:00:00,PM,-0.91,447.39,196.77
139,4/6/19,6:00:00,PM,-0.99,447.45,196.8
140,4/6/19,7:00:00,PM,-1.22,447.35,196.8
141,4/6/19,8:00:00,PM,-1.12,447.28,196.8
142,4/6/19,9:00:00,PM,-2.28,447.27,196.86
143,4/6/19,10:00:00,PM,-2.08,447.14,196.88
144,4/6/19,11:00:00,PM,-2.57,447.08,196.93
145,4/7/19,12:00:00,AM,-3.58,446.93,197.03
146,4/7/19,1:00:00,AM,-3.63,446.9,197.03
147,4/7/19,2:00:00,AM,-4.56,447.02,197.09
148,4/7/19,3:00:00,AM,-4.32,446.99,197.06
149,4/7/19,4:00:00,AM,-4.45,446.82,197.02
150,4/7/19,5:00:00,AM,-4.84,446.66,197.08
151,4/7/19,6:00:00,AM,-4.04,446.37,197
152,4/7/19,7:00:00,AM,-3.14,445.87,196.96
153,4/7/19,8:00:00,AM,-1.7,445.37,196.7
154,4/7/19,9:00:00,AM,-0.55,444.98,196.58
155,4/7/19,10:00:00,AM,-0.16,444.93,196.6
156,4/7/19,11:00:00,AM,-0.08,444.9,196.6
157,4/7/19,12:00:00,PM,-0.05,444.23,196.6
158,4/7/19,1:00:00,PM,-0.04,443.29,196.61
159,4/7/19,2:00:00,PM,-0.05,442.44,196.63
160,4/7/19,3:00:00,PM,-0.17,442.18,196.62
161,4/7/19,4:00:00,PM,-0.47,442.38,196.64
162,4/7/19,5:00:00,PM,-0.81,442.11,196.6
163,4/7/19,6:00:00,PM,-1.53,442.59,196.6
164,4/7/19,7:00:00,PM,-2.77,442.74,196.65
165,4/7/19,8:00:00,PM,-3.43,442.67,196.7
166,4/7/19,9:00:00,PM,-3.09,442.54,196.68
167,4/7/19,10:00:00,PM,-3.08,442.4,196.64
168,4/7/19,11:00:00,PM,-3.66,442.46,196.73
169,4/8/19,12:00:00,AM,-3.4,442.38,196.73
170,4/8/19,1:00:00,AM,-2.48,442.23,196.76
171,4/8/19,2:00:00,AM,-2.44,442.1,196.7
172,4/8/19,3:00:00,AM,-1.87,442.18,196.67
173,4/8/19,4:00:00,AM,-1.32,442.1,196.6
174,4/8/19,5:00:00,AM,-1.15,441.97,196.62
175,4/8/19,6:00:00,AM,-0.85,441.75,196.58
176,4/8/19,7:00:00,AM,-0.26,441.45,196.4
177,4/8/19,8:00:00,AM,-0.01,441.18,196.36
178,4/8/19,9:00:00,AM,-0.02,440.88,196.33
179,4/8/19,10:00:00,AM,-0.04,440.18,196.3
180,4/8/19,11:00:00,AM,,439.72,196.27
181,4/8/19,12:00:00,PM,0,439.72,196.23
182,4/8/19,1:00:00,PM,0,439.38,196.17
183,4/8/19,2:00:00,PM,0,438.84,196.11
184,4/8/19,3:00:00,PM,-0.03,437.99,196.17
185,4/8/19,4:00:00,PM,-0.01,437.53,196.16
186,4/8/19,5:00:00,PM,0,437.48,196.18
187,4/8/19,6:00:00,PM,-0.05,437.78,196.13
188,4/8/19,7:00:00,PM,0,436.91,196.19
189,4/8/19,8:00:00,PM,,437.15,196.17
190,4/8/19,9:00:00,PM,,436.86,196.08
191,4/8/19,10:00:00,PM,0,436.58,196
192,4/8/19,11:00:00,PM,0,437.63,195.92
193,4/9/19,12:00:00,AM,0,437.1,195.95
194,4/9/19,1:00:00,AM,-0.03,436.52,196.06
195,4/9/19,2:00:00,AM,-0.15,437.58,196.29
196,4/9/19,3:00:00,AM,-0.77,438.91,196.79
197,4/9/19,4:00:00,AM,-1.32,439.63,197.07
198,4/9/19,5:00:00,AM,-2.1,439.75,197.08
199,4/9/19,6:00:00,AM,-2.6,439.86,196.97
200,4/9/19,7:00:00,AM,-2.89,439.93,196.9
201,4/9/19,8:00:00,AM,-3.4,439.47,196.81
202,4/9/19,9:00:00,AM,-3.79,439.17,196.73
203,4/9/19,10:00:00,AM,-3.49,438.85,196.71
204,4/9/19,11:00:00,AM,-2.54,439,196.72
205,4/9/19,12:00:00,PM,-3.32,439.2,196.79
206,4/9/19,1:00:00,PM,-3.22,438.8,196.76
207,4/9/19,2:00:00,PM,-3.36,438.76,196.79
208,4/9/19,3:00:00,PM,-5.97,439.5,196.98
209,4/9/19,4:00:00,PM,-6.65,440.9,196.85
210,4/9/19,5:00:00,PM,-7.17,440.68,196.93
211,4/9/19,6:00:00,PM,-10.83,440.43,197.3
212,4/9/19,7:00:00,PM,-9.92,440.66,197.67
213,4/9/19,8:00:00,PM,-11.02,440.58,197.82
214,4/9/19,9:00:00,PM,-10.39,440.6,198.08
215,4/9/19,10:00:00,PM,-8.42,440.5,197.75
216,4/9/19,11:00:00,PM,-8.39,440.43,197.64
217,4/10/19,12:00:00,AM,-11.09,440.3,197.82
218,4/10/19,1:00:00,AM,-13.33,440.48,198.27
219,4/10/19,2:00:00,AM,-15.88,440.44,198.78
220,4/10/19,3:00:00,AM,-16.74,440.28,199.05
221,4/10/19,4:00:00,AM,-17.3,440.23,199.1
222,4/10/19,5:00:00,AM,-17.75,440.1,199.08
223,4/10/19,6:00:00,AM,-15.83,439.33,198.75
224,4/10/19,7:00:00,AM,-14.04,438.63,198.25
225,4/10/19,8:00:00,AM,-10.82,438.43,197.18
226,4/10/19,9:00:00,AM,-8.17,438.55,195.78
227,4/10/19,10:00:00,AM,-6.34,438.82,194.81
228,4/10/19,11:00:00,AM,-5.09,438.87,194.28
229,4/10/19,12:00:00,PM,-3.72,438.75,194.13
230,4/10/19,1:00:00,PM,-2.91,438.51,194.36
231,4/10/19,2:00:00,PM,-3.01,438.56,195.06
232,4/10/19,3:00:00,PM,-3.66,438.49,195.89
233,4/10/19,4:00:00,PM,-4.76,438.68,196.61
234,4/10/19,5:00:00,PM,-6.95,438.75,197.38
235,4/10/19,6:00:00,PM,-9.41,439.08,198.18
236,4/10/19,7:00:00,PM,-10.44,439.15,198.56
237,4/10/19,8:00:00,PM,-11.65,439.1,198.65
238,4/10/19,9:00:00,PM,-12.64,438.98,198.72
239,4/10/19,10:00:00,PM,-13.41,438.83,198.7
240,4/10/19,11:00:00,PM,-14.19,438.75,198.71
241,4/11/19,12:00:00,AM,-14.82,438.73,198.73
242,4/11/19,1:00:00,AM,-15.26,438.72,198.63
243,4/11/19,2:00:00,AM,-15.51,438.69,198.48
244,4/11/19,3:00:00,AM,-16.18,438.63,198.35
245,4/11/19,4:00:00,AM,-16.75,438.43,198.46
246,4/11/19,5:00:00,AM,-16.63,438.46,198.35
247,4/11/19,6:00:00,AM,-15.31,437.23,197.93
248,4/11/19,7:00:00,AM,-11.79,436.68,196.83
249,4/11/19,8:00:00,AM,-8.98,436.33,195.68
250,4/11/19,9:00:00,AM,-5.39,435.62,194.54
251,4/11/19,10:00:00,AM,-5.01,436.62,194.31
252,4/11/19,11:00:00,AM,-4.45,436.93,194.56
253,4/11/19,12:00:00,PM,-2.49,436.47,194.31
254,4/11/19,1:00:00,PM,-1.83,435.73,194.45
255,4/11/19,2:00:00,PM,-2.28,435.89,195.08
256,4/11/19,3:00:00,PM,-2.7,436.07,195.68
257,4/11/19,4:00:00,PM,-3.38,436.18,196.08
258,4/11/19,5:00:00,PM,-3.91,436.2,196.52
259,4/11/19,6:00:00,PM,-4.14,436.31,196.71
260,4/11/19,7:00:00,PM,-4.39,438.39,196.89
261,4/11/19,8:00:00,PM,-5.1,439.88,197.04
262,4/11/19,9:00:00,PM,-5.48,440.18,197.12
263,4/11/19,10:00:00,PM,-5.96,440.08,197.19
264,4/11/19,11:00:00,PM,-6.36,439.91,197.2
265,4/12/19,12:00:00,AM,-6.85,439.92,197.22
266,4/12/19,1:00:00,AM,-7.01,439.23,197.28
267,4/12/19,2:00:00,AM,-7.26,436.86,197.29
268,4/12/19,3:00:00,AM,-8.04,439.12,197.29
269,4/12/19,4:00:00,AM,-12.32,439.38,197.36
270,4/12/19,5:00:00,AM,-10.96,439.17,197.5
271,4/12/19,6:00:00,AM,-7.73,438.73,197.42
272,4/12/19,7:00:00,AM,-7.04,439.12,197.23
273,4/12/19,8:00:00,AM,-6.22,438.18,197.07
274,4/12/19,9:00:00,AM,-5.08,438.35,196.83
275,4/12/19,10:00:00,AM,-3.9,437.48,196.62
276,4/12/19,11:00:00,AM,-2.53,437.48,196.27
277,4/12/19,12:00:00,PM,-2.95,437.58,196.05
278,4/12/19,1:00:00,PM,-2.61,437.13,195.98
279,4/12/19,2:00:00,PM,-2.61,436.53,196.04
280,4/12/19,3:00:00,PM,-3.63,436.18,196.23
281,4/12/19,4:00:00,PM,-5.07,436.43,196.48
282,4/12/19,5:00:00,PM,-7.88,436.48,196.78
283,4/12/19,6:00:00,PM,-11.76,437.32,197.37
284,4/12/19,7:00:00,PM,-11.95,437.78,197.94
285,4/12/19,8:00:00,PM,-10.68,437.63,198.15
286,4/12/19,9:00:00,PM,-11.83,437.53,198.2
287,4/12/19,10:00:00,PM,-13.29,437.68,198.28
288,4/12/19,11:00:00,PM,-14.12,437.45,198.28
289,4/13/19,12:00:00,AM,-16.01,437.71,198.29
290,4/13/19,1:00:00,AM,-17.9,437.56,198.3
291,4/13/19,2:00:00,AM,-16.23,437.8,198.3
292,4/13/19,3:00:00,AM,-16.41,437.68,198.23
293,4/13/19,4:00:00,AM,-16.59,437.89,198.2
294,4/13/19,5:00:00,AM,-16.38,437.23,198.18
295,4/13/19,6:00:00,AM,-14.81,435.3,198.07
296,4/13/19,7:00:00,AM,-8.9,434.83,197.78
297,4/13/19,8:00:00,AM,-5.04,435.08,196.98
298,4/13/19,9:00:00,AM,-2.42,434.68,196.08
299,4/13/19,10:00:00,AM,-0.45,434.67,195.4
300,4/13/19,11:00:00,AM,-0.47,434.88,195.05
301,4/13/19,12:00:00,PM,-0.32,434.48,195
302,4/13/19,1:00:00,PM,-0.16,433.58,195.23
303,4/13/19,2:00:00,PM,-0.1,433.45,195.63
304,4/13/19,3:00:00,PM,-0.18,433.45,196
305,4/13/19,4:00:00,PM,-0.15,433.08,196.24
306,4/13/19,5:00:00,PM,-0.64,432.51,196.47
307,4/13/19,6:00:00,PM,-1.24,432.91,196.63
308,4/13/19,7:00:00,PM,-1.81,433.12,196.77
309,4/13/19,8:00:00,PM,-1.78,432.77,196.86
310,4/13/19,9:00:00,PM,-1.87,432.89,196.93
311,4/13/19,10:00:00,PM,-2.14,432.88,197.01
312,4/13/19,11:00:00,PM,-2.96,433.03,197.11
313,4/14/19,12:00:00,AM,-3.52,432.84,197.26
314,4/14/19,1:00:00,AM,-4.15,433.08,197.48
315,4/14/19,2:00:00,AM,-4.7,432.95,197.8
316,4/14/19,3:00:00,AM,-5.21,433,197.96
317,4/14/19,4:00:00,AM,-5.35,433.03,198.06
318,4/14/19,5:00:00,AM,-5.63,432.74,197.96
319,4/14/19,6:00:00,AM,-4.59,432.13,197.66
320,4/14/19,7:00:00,AM,-3,431.61,197.02
321,4/14/19,8:00:00,AM,-1.34,431.4,196.07
322,4/14/19,9:00:00,AM,-0.15,430.98,195.67
323,4/14/19,10:00:00,AM,-0.11,431.03,196.03
324,4/14/19,11:00:00,AM,-0.07,431.04,196.31
325,4/14/19,12:00:00,PM,-0.08,430.65,196.5
326,4/14/19,1:00:00,PM,-0.03,430.72,196.58
327,4/14/19,2:00:00,PM,-0.09,430.1,196.58
328,4/14/19,3:00:00,PM,-0.09,429.68,196.53
329,4/14/19,4:00:00,PM,-0.21,429.73,196.51
330,4/14/19,5:00:00,PM,-0.47,429.89,196.47
331,4/14/19,6:00:00,PM,-0.38,429.73,196.42
332,4/14/19,7:00:00,PM,-0.46,429.59,196.38
333,4/14/19,8:00:00,PM,-0.64,429.37,196.29
334,4/14/19,9:00:00,PM,-0.75,429.35,196.28
335,4/14/19,10:00:00,PM,-1.58,429.11,196.21
336,4/14/19,11:00:00,PM,-1.62,429.21,196.13
337,4/15/19,12:00:00,AM,-1.43,429.36,196.08
