date,hour,am/pm,burnside_snowdepth_cm,burnside_SWE_mm,burnside_snowtemp,burnside_SWE_cm
4/1/2019 0:00,12:00:00,AM,272,1113,-8.64,111.3
4/1/2019 0:00,1:00:00,AM,272,1110,-6.96,111
4/1/2019 0:00,2:00:00,AM,272,1113,-6.91,111.3
4/1/2019 0:00,3:00:00,AM,272,1110,-7.35,111
4/1/2019 0:00,4:00:00,AM,272,1110,-6.25,111
4/1/2019 0:00,5:00:00,AM,272,1113,-5.93,111.3
4/1/2019 0:00,6:00:00,AM,272,1110,-5.64,111
4/1/2019 0:00,7:00:00,AM,269,1110,-4.13,111
4/1/2019 0:00,8:00:00,AM,269,1107,-2.32,110.7
4/1/2019 0:00,9:00:00,AM,267,1105,0.02,110.5
4/1/2019 0:00,10:00:00,AM,264,1110,0.36,111
4/1/2019 0:00,11:00:00,AM,264,1110,0.49,111
4/1/2019 0:00,12:00:00,PM,264,1110,0.46,111
4/1/2019 0:00,1:00:00,PM,264,1113,0.49,111.3
4/1/2019 0:00,2:00:00,PM,264,1110,0.49,111
4/1/2019 0:00,3:00:00,PM,267,1113,0.39,111.3
4/1/2019 0:00,4:00:00,PM,264,1113,0.42,111.3
4/1/2019 0:00,5:00:00,PM,267,1113,0.15,111.3
4/1/2019 0:00,6:00:00,PM,267,1113,-0.13,111.3
4/1/2019 0:00,7:00:00,PM,267,1113,-0.24,111.3
4/1/2019 0:00,8:00:00,PM,264,1113,-0.74,111.3
4/1/2019 0:00,9:00:00,PM,269,1115,-1.45,111.5
4/1/2019 0:00,10:00:00,PM,269,1113,-1.68,111.3
4/1/2019 0:00,11:00:00,PM,272,1115,-1.71,111.5
4/2/2019 0:00,12:00:00,AM,272,1113,-1.92,111.3
4/2/2019 0:00,1:00:00,AM,272,1115,-2.25,111.5
4/2/2019 0:00,2:00:00,AM,272,1115,-2.08,111.5
4/2/2019 0:00,3:00:00,AM,272,1118,-1.99,111.8
4/2/2019 0:00,4:00:00,AM,272,1118,-2.09,111.8
4/2/2019 0:00,5:00:00,AM,274,1118,-2.27,111.8
4/2/2019 0:00,6:00:00,AM,274,1118,-2.39,111.8
4/2/2019 0:00,7:00:00,AM,269,1123,-2.58,112.3
4/2/2019 0:00,8:00:00,AM,274,1125,-1.82,112.5
4/2/2019 0:00,9:00:00,AM,277,1125,-1.55,112.5
4/2/2019 0:00,10:00:00,AM,267,1125,-1.56,112.5
4/2/2019 0:00,11:00:00,AM,277,1128,-2.13,112.8
4/2/2019 0:00,12:00:00,PM,279,1130,-2.4,113
4/2/2019 0:00,1:00:00,PM,279,1130,-2.56,113
4/2/2019 0:00,2:00:00,PM,279,1133,-3.13,113.3
4/2/2019 0:00,3:00:00,PM,279,1130,-3.27,113
4/2/2019 0:00,4:00:00,PM,272,1133,-3.56,113.3
4/2/2019 0:00,5:00:00,PM,279,1133,-3.61,113.3
4/2/2019 0:00,6:00:00,PM,279,1130,-3.53,113
4/2/2019 0:00,7:00:00,PM,279,1133,-3.67,113.3
4/2/2019 0:00,8:00:00,PM,274,1130,-3.85,113
4/2/2019 0:00,9:00:00,PM,279,1130,-5.04,113
4/2/2019 0:00,10:00:00,PM,279,1130,-7.52,113
4/2/2019 0:00,11:00:00,PM,279,1133,-8.9,113.3
4/3/2019 0:00,12:00:00,AM,279,1133,-9.04,113.3
4/3/2019 0:00,1:00:00,AM,279,1133,-7.35,113.3
4/3/2019 0:00,2:00:00,AM,279,1133,-8.3,113.3
4/3/2019 0:00,3:00:00,AM,279,1133,-9.58,113.3
4/3/2019 0:00,4:00:00,AM,279,1130,-10.92,113
4/3/2019 0:00,5:00:00,AM,279,1130,-11.33,113
4/3/2019 0:00,6:00:00,AM,279,1133,-10.87,113.3
4/3/2019 0:00,7:00:00,AM,274,1130,-9.17,113
4/3/2019 0:00,8:00:00,AM,277,1130,-6.22,113
4/3/2019 0:00,9:00:00,AM,274,1128,-3.05,112.8
4/3/2019 0:00,10:00:00,AM,272,1128,-0.84,112.8
4/3/2019 0:00,11:00:00,AM,272,1130,-0.57,113
4/3/2019 0:00,12:00:00,PM,272,1133,-0.23,113.3
4/3/2019 0:00,1:00:00,PM,269,1133,-0.13,113.3
4/3/2019 0:00,2:00:00,PM,269,1133,0.03,113.3
4/3/2019 0:00,3:00:00,PM,269,1133,-0.48,113.3
4/3/2019 0:00,4:00:00,PM,267,1133,-1.66,113.3
4/3/2019 0:00,5:00:00,PM,269,1133,-3.6,113.3
4/3/2019 0:00,6:00:00,PM,269,1128,-4.26,112.8
4/3/2019 0:00,7:00:00,PM,269,1130,-4.33,113
4/3/2019 0:00,8:00:00,PM,269,1130,-5.04,113
4/3/2019 0:00,9:00:00,PM,269,1130,-5.31,113
4/3/2019 0:00,10:00:00,PM,269,1130,-4.28,113
4/3/2019 0:00,11:00:00,PM,269,1128,-5.29,112.8
4/4/2019 0:00,12:00:00,AM,269,1130,-6.53,113
4/4/2019 0:00,1:00:00,AM,269,1133,-7.96,113.3
4/4/2019 0:00,2:00:00,AM,269,1133,-8.93,113.3
4/4/2019 0:00,3:00:00,AM,269,1128,-9.37,112.8
4/4/2019 0:00,4:00:00,AM,269,1130,-10.41,113
4/4/2019 0:00,5:00:00,AM,269,1130,-10.79,113
4/4/2019 0:00,6:00:00,AM,269,1128,-9.23,112.8
4/4/2019 0:00,7:00:00,AM,267,1128,-7.4,112.8
4/4/2019 0:00,8:00:00,AM,267,1125,-5.39,112.5
4/4/2019 0:00,9:00:00,AM,267,1123,-3,112.3
4/4/2019 0:00,10:00:00,AM,267,1128,-1.05,112.8
4/4/2019 0:00,11:00:00,AM,267,1130,-0.3,113
4/4/2019 0:00,12:00:00,PM,267,1130,-0.43,113
4/4/2019 0:00,1:00:00,PM,267,1128,-0.2,112.8
4/4/2019 0:00,2:00:00,PM,267,1130,-0.52,113
4/4/2019 0:00,3:00:00,PM,267,1128,-1.46,112.8
4/4/2019 0:00,4:00:00,PM,264,1125,-2.16,112.5
4/4/2019 0:00,5:00:00,PM,264,1130,-2.65,113
4/4/2019 0:00,6:00:00,PM,267,1125,-2.96,112.5
4/4/2019 0:00,7:00:00,PM,267,1130,-2.84,113
4/4/2019 0:00,8:00:00,PM,267,1130,-2.92,113
4/4/2019 0:00,9:00:00,PM,267,1128,-3.75,112.8
4/4/2019 0:00,10:00:00,PM,267,1130,-4.41,113
