date,hour,am/pm,burnside_snowdepth_cm,burnside_SWE_mm,leavittlk_snowdepth_cm,leavittil_SWE_mm,leavittmdw_snowdepth_cm,leavittmdw_SWE_mm,squaw _snowdepth_cm,squaw_SWE_mm
4/1/2019 0:00,12:00:00,AM,272,1113,513,2040,137,704,323,1598
4/1/2019 0:00,1:00:00,AM,272,1110,513,2042,137,698,323,1603
4/1/2019 0:00,2:00:00,AM,272,1113,511,2042,137,701,323,1603
4/1/2019 0:00,3:00:00,AM,272,1110,511,2045,137,701,323,1603
4/1/2019 0:00,4:00:00,AM,272,1110,511,2045,137,701,323,1603
4/1/2019 0:00,5:00:00,AM,272,1113,513,2042,137,701,323,1603
4/1/2019 0:00,6:00:00,AM,272,1110,511,2042,137,701,323,1603
4/1/2019 0:00,7:00:00,AM,269,1110,511,2042,137,698,320,1603
4/1/2019 0:00,8:00:00,AM,269,1107,508,2042,135,698,320,1603
4/1/2019 0:00,9:00:00,AM,267,1105,508,2040,132,696,318,1603
4/1/2019 0:00,10:00:00,AM,264,1110,508,2042,132,696,318,1603
4/1/2019 0:00,11:00:00,AM,264,1110,508,2045,132,698,315,1605
4/1/2019 0:00,12:00:00,PM,264,1110,508,2045,132,698,315,1605
4/1/2019 0:00,1:00:00,PM,264,1113,508,2047,132,701,318,1608
4/1/2019 0:00,2:00:00,PM,264,1110,505,2050,132,698,318,1610
4/1/2019 0:00,3:00:00,PM,267,1113,505,2055,130,704,318,1613
4/1/2019 0:00,4:00:00,PM,264,1113,505,2055,130,706,320,1618
4/1/2019 0:00,5:00:00,PM,267,1113,508,2057,132,701,318,1623
4/1/2019 0:00,6:00:00,PM,267,1113,508,2055,132,696,315,1626
4/1/2019 0:00,7:00:00,PM,267,1113,508,2055,132,693,320,1631
4/1/2019 0:00,8:00:00,PM,264,1113,511,2052,135,691,325,1633
4/1/2019 0:00,9:00:00,PM,269,1115,513,2055,132,688,328,1636
4/1/2019 0:00,10:00:00,PM,269,1113,513,2057,132,693,323,1638
4/1/2019 0:00,11:00:00,PM,272,1115,516,2060,132,696,323,1641
4/2/2019 0:00,12:00:00,AM,272,1113,513,2062,132,696,328,1643
4/2/2019 0:00,1:00:00,AM,272,1115,518,2065,132,698,325,1643
4/2/2019 0:00,2:00:00,AM,272,1115,518,2068,135,701,328,1648
4/2/2019 0:00,3:00:00,AM,272,1118,521,2075,132,706,330,1651
4/2/2019 0:00,4:00:00,AM,272,1118,521,2078,135,706,333,1654
4/2/2019 0:00,5:00:00,AM,274,1118,521,2078,132,701,335,1659
4/2/2019 0:00,6:00:00,AM,274,1118,521,2075,132,693,338,1659
4/2/2019 0:00,7:00:00,AM,269,1123,523,2073,135,693,335,1661
4/2/2019 0:00,8:00:00,AM,274,1125,521,2075,130,693,335,1661
4/2/2019 0:00,9:00:00,AM,277,1125,523,2073,130,688,338,1664
4/2/2019 0:00,10:00:00,AM,267,1125,521,2070,130,688,335,1664
4/2/2019 0:00,11:00:00,AM,277,1128,523,2075,130,688,335,1666
4/2/2019 0:00,12:00:00,PM,279,1130,526,2078,130,688,335,1669
4/2/2019 0:00,1:00:00,PM,279,1130,523,2075,132,681,338,1674
4/2/2019 0:00,2:00:00,PM,279,1133,528,2080,132,683,335,1676
4/2/2019 0:00,3:00:00,PM,279,1130,528,2080,132,683,335,1676
