date,hour,am/pm,squaw _snowdepth_cm,squaw_SWE_mm,squaw _snowdepth_mm,cues_snowtemp,squaw_snowtemp,,
4/1/2019 0:00,12:00:00,AM,323,1598,3230,-9.13,-8.63,,
4/1/2019 0:00,1:00:00,AM,323,1603,3230,-7.45,-6.95,,
4/1/2019 0:00,2:00:00,AM,323,1603,3230,-7.4,-6.9,,
4/1/2019 0:00,3:00:00,AM,323,1603,3230,-7.84,-7.34,,
4/1/2019 0:00,4:00:00,AM,323,1603,3230,-6.74,-6.24,,
4/1/2019 0:00,5:00:00,AM,323,1603,3230,-6.42,-5.92,,
4/1/2019 0:00,6:00:00,AM,323,1603,3230,-6.13,-5.63,,
4/1/2019 0:00,7:00:00,AM,320,1603,3200,-4.62,-4.12,,
4/1/2019 0:00,8:00:00,AM,320,1603,3200,-2.81,-2.31,,
4/1/2019 0:00,9:00:00,AM,318,1603,3180,-0.47,0.03,,
4/1/2019 0:00,10:00:00,AM,318,1603,3180,-0.13,0.37,,
4/1/2019 0:00,11:00:00,AM,315,1605,3150,0,0.5,,
4/1/2019 0:00,12:00:00,PM,315,1605,3150,-0.03,0.47,,
4/1/2019 0:00,1:00:00,PM,318,1608,3180,0,0.5,,
4/1/2019 0:00,2:00:00,PM,318,1610,3180,0,0.5,,
4/1/2019 0:00,3:00:00,PM,318,1613,3180,-0.1,0.4,,
4/1/2019 0:00,4:00:00,PM,320,1618,3200,-0.07,0.43,,
4/1/2019 0:00,5:00:00,PM,318,1623,3180,-0.34,0.16,,
4/1/2019 0:00,6:00:00,PM,315,1626,3150,-0.62,-0.12,,
4/1/2019 0:00,7:00:00,PM,320,1631,3200,-0.73,-0.23,,
4/1/2019 0:00,8:00:00,PM,325,1633,3250,-1.23,-0.73,,
4/1/2019 0:00,9:00:00,PM,328,1636,3280,-1.94,-1.44,,
4/1/2019 0:00,10:00:00,PM,323,1638,3230,-2.17,-1.67,,
4/1/2019 0:00,11:00:00,PM,323,1641,3230,-2.2,-1.7,,
4/2/2019 0:00,12:00:00,AM,328,1643,3280,-2.41,-1.91,,
4/2/2019 0:00,1:00:00,AM,325,1643,3250,-2.74,-2.24,,
4/2/2019 0:00,2:00:00,AM,328,1648,3280,-2.57,-2.07,,
4/2/2019 0:00,3:00:00,AM,330,1651,3300,-2.48,-1.98,,
4/2/2019 0:00,4:00:00,AM,333,1654,3330,-2.58,-2.08,,
4/2/2019 0:00,5:00:00,AM,335,1659,3350,-2.76,-2.26,,
4/2/2019 0:00,6:00:00,AM,338,1659,3380,-2.88,-2.38,,
4/2/2019 0:00,7:00:00,AM,335,1661,3350,-3.07,-2.57,,
4/2/2019 0:00,8:00:00,AM,335,1661,3350,-2.31,-1.81,,
4/2/2019 0:00,9:00:00,AM,338,1664,3380,-2.04,-1.54,,
4/2/2019 0:00,10:00:00,AM,335,1664,3350,-2.05,-1.55,,
4/2/2019 0:00,11:00:00,AM,335,1666,3350,-2.62,-2.12,,
4/2/2019 0:00,12:00:00,PM,335,1669,3350,-2.89,-2.39,,
4/2/2019 0:00,1:00:00,PM,338,1674,3380,-3.05,-2.55,,
4/2/2019 0:00,2:00:00,PM,335,1676,3350,-3.62,-3.12,,
4/2/2019 0:00,3:00:00,PM,335,1676,3350,-3.76,-3.26,,
4/2/2019 0:00,4:00:00,PM,335,1676,3350,-4.05,-3.55,,
4/2/2019 0:00,5:00:00,PM,335,1676,3350,-4.1,-3.6,,
4/2/2019 0:00,6:00:00,PM,335,1676,3350,-4.02,-3.52,,
4/2/2019 0:00,7:00:00,PM,338,1679,3380,-4.16,-3.66,,
4/2/2019 0:00,8:00:00,PM,335,1676,3350,-4.34,-3.84,,
4/2/2019 0:00,9:00:00,PM,335,1679,3350,-5.53,-5.03,,
4/2/2019 0:00,10:00:00,PM,335,1679,3350,-8.01,-7.51,,
4/2/2019 0:00,11:00:00,PM,338,1681,3380,-9.39,-8.89,,
4/3/2019 0:00,12:00:00,AM,338,1681,3380,-9.53,-9.03,,
4/3/2019 0:00,1:00:00,AM,338,1681,3380,-7.84,-7.34,,
4/3/2019 0:00,2:00:00,AM,338,1681,3380,-8.79,-8.29,,
4/3/2019 0:00,3:00:00,AM,338,1684,3380,-10.07,-9.57,,
4/3/2019 0:00,4:00:00,AM,340,1684,3400,-11.41,-10.91,,
4/3/2019 0:00,5:00:00,AM,340,1681,3400,-11.82,-11.32,,
4/3/2019 0:00,6:00:00,AM,340,1684,3400,-11.36,-10.86,,
4/3/2019 0:00,7:00:00,AM,338,1681,3380,-9.66,-9.16,,
4/3/2019 0:00,8:00:00,AM,335,1681,3350,-6.71,-6.21,,
4/3/2019 0:00,9:00:00,AM,335,1681,3350,-3.54,-3.04,,
4/3/2019 0:00,10:00:00,AM,335,1681,3350,-1.33,-0.83,,
4/3/2019 0:00,11:00:00,AM,335,1681,3350,-1.06,-0.56,,
4/3/2019 0:00,12:00:00,PM,333,1684,3330,-0.72,-0.22,,
4/3/2019 0:00,1:00:00,PM,330,1684,3300,-0.62,-0.12,,
4/3/2019 0:00,2:00:00,PM,330,1687,3300,-0.46,0.04,,
4/3/2019 0:00,3:00:00,PM,330,1687,3300,-0.97,-0.47,,
4/3/2019 0:00,4:00:00,PM,330,1684,3300,-2.15,-1.65,,
4/3/2019 0:00,5:00:00,PM,330,1687,3300,-4.09,-3.59,,
4/3/2019 0:00,6:00:00,PM,330,1687,3300,-4.75,-4.25,,
4/3/2019 0:00,7:00:00,PM,330,1687,3300,-4.82,-4.32,,
4/3/2019 0:00,8:00:00,PM,333,1687,3330,-5.53,-5.03,,
4/3/2019 0:00,9:00:00,PM,330,1687,3300,-5.8,-5.3,,
4/3/2019 0:00,10:00:00,PM,330,1687,3300,-4.77,-4.27,,
4/3/2019 0:00,11:00:00,PM,330,1687,3300,-5.78,-5.28,,
4/4/2019 0:00,12:00:00,AM,330,1687,3300,-7.02,-6.52,,
4/4/2019 0:00,1:00:00,AM,330,1687,3300,-8.45,-7.95,,
4/4/2019 0:00,2:00:00,AM,330,1687,3300,-9.42,-8.92,,
4/4/2019 0:00,3:00:00,AM,330,1687,3300,-9.86,-9.36,,
4/4/2019 0:00,4:00:00,AM,330,1687,3300,-10.9,-10.4,,
4/4/2019 0:00,5:00:00,AM,330,1687,3300,-11.28,-10.78,,
4/4/2019 0:00,6:00:00,AM,330,1684,3300,-9.72,-9.22,,
4/4/2019 0:00,7:00:00,AM,330,1681,3300,-7.89,-7.39,,
4/4/2019 0:00,8:00:00,AM,328,1681,3280,-5.88,-5.38,,
4/4/2019 0:00,9:00:00,AM,328,1681,3280,-3.49,-2.99,,
4/4/2019 0:00,10:00:00,AM,328,1681,3280,-1.54,-1.04,,
4/4/2019 0:00,11:00:00,AM,328,1684,3280,-0.79,-0.29,,
4/4/2019 0:00,12:00:00,PM,325,1684,3250,-0.92,-0.42,,
4/4/2019 0:00,1:00:00,PM,323,1684,3230,-0.69,-0.19,,
4/4/2019 0:00,2:00:00,PM,325,1684,3250,-1.01,-0.51,,
4/4/2019 0:00,3:00:00,PM,328,1684,3280,-1.95,-1.45,,
4/4/2019 0:00,4:00:00,PM,325,1689,3250,-2.65,-2.15,,
4/4/2019 0:00,5:00:00,PM,330,1689,3300,-3.14,-2.64,,
4/4/2019 0:00,6:00:00,PM,333,1692,3330,-3.45,-2.95,,
4/4/2019 0:00,7:00:00,PM,335,1692,3350,-3.33,-2.83,,
4/4/2019 0:00,8:00:00,PM,333,1692,3330,-3.41,-2.91,,
